,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,class
RUP,Lyra2REv2,PoS,24000000.0,24000000.0,0.2103193999983551,-1.6395687334817997,-0.4754564272937889,Rupee,4
BTG,Equihash,PoW,17202361.088994,21000000.0,-0.041936021485034516,-1.2474160924629525,1.099353082912612,Bitcoin Gold,0
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000.0,0.5740434431214654,1.0412238922622248,0.4093731112745554,WomenCoin,2
MAY,SHA-256,PoW/PoS,92050800.0,100000000.0,-0.37956032132065176,0.5663818920216999,0.5939314558722864,Theresa May Coin,2
NAMO,NIST5,PoW/PoS,560563220.0,1200000000.0,-0.29992373472904205,0.05571571341668924,1.069284569024624,NamoCoin,0
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000.0,-0.3351852098565696,0.1800715973446525,0.9485851240370127,LUXCoin,2
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.0249612630329009,-1.3757198616737407,1.2178921703375518,Pirl,0
XIOS,Scrypt,PoW/PoS,2149688.0,21000000.0,-0.41242003648916636,0.8232019085236211,0.3572725642300542,Xios,2
BTDX,Quark,PoW/PoS,30711550.5294042,200000000.0,-0.3743584815738673,0.5235015954427158,0.6335669390802192,Bitcloud 2.0,2
EBST,Scrypt,PoW,99990001.493466,100000000.0,-0.2189573304623681,0.2539116348528473,-0.28001097820694815,eBoost,2
KEK,POS 2.0,PoS,12330806.30517,21000000.0,0.16918101813444952,-1.2965569166682713,-0.7907840318707444,KekCoin,4
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.990999999,-0.41226792642726556,0.8232372684002349,0.357258404128432,BlackholeCoin,2
XIN,SHA-256,PoS,8999999990.0,9000000000.0,0.35526679971100583,-0.903884087917965,-1.0869910275447143,Infinity Economics,4
PURA,X11,PoW,175215859.0,350000000.0,-0.276682025582058,0.7692830424244178,-0.7524531754462366,Pura,2
INN,NeoScrypt,PoW,6375259.04,45000000.0,-0.13395222229482112,-0.4755219495591098,0.38993213730524284,Innova,0
ELLA,Ethash,PoW,12756367.0,280000000.0,-0.049610870711326,-1.1611198622571757,1.021086129165872,Ellaism,0
GBX,NeoScrypt,PoW,5832306.875,31800000.0,-0.1340942363056161,-0.47555167465404385,0.389903456203912,GoByte,0
MAG,X11,PoW/PoS,38198594.8342105,144000000.0,-0.47202486726595505,1.3381715189093617,-0.11544402362620632,Magnet,2
TAU,DPoS,DPoS,288090567.493887,500000000.0,0.6884825320171377,-3.506242608899891,-1.0792766618833434,Lamden Tau,4
ECA,NIST5,PoW/PoS,28399150208.0,30000000000.0,0.4132610715968647,0.21148065545066758,1.1306397522407388,Electra,0
BCD,X13,PoW/PoS,183534024.88980702,210000000.0,-0.4793894648366108,1.4245710769069104,-0.19413755941506095,Bitcoin Diamond,2
XSH,Multiple,PoW,481730566.566176,660000000.0,-0.11029238508895146,-0.5583664777862954,0.4700781899334388,SHIELD,0
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000.0,-0.40885748565927105,0.8239721857323394,0.35767859337421365,Cash & Back Coin,2
XUN,CryptoNight,PoW,19281821413.4924,85000000000.0,1.1518780260796628,-1.3453248325226568,1.5985951503308216,UltraNote,0
COAL,CryptoNight,PoW,4500000.0,12500000.0,-0.0012830038945574468,-1.5905353182075075,1.4146567956278377,BitCoal,0
DAXX,Ethash,PoW,520891780.0,10000000000.0,0.05660229296689066,-1.1388619124069266,1.0422008838240897,DaxxCoin,0
BWK,NIST5,PoS,13247178.880728599,27716121.0,0.18972865663604194,-1.4680685855424633,-0.633108660662307,Bulwark,4
KLKS,Quark,PoS,16955764.902064003,20000000.0,0.13342590077092215,-0.996367545301348,-1.066692832024536,Kalkulus,4
AC3,X11,PoW,80316207.0,550000000.0,-0.2760908358046198,0.769381684262129,-0.7520138862032563,AC3,2
LTHN,CryptoNight-V7,PoW,441250233.377,999481516.0,0.00509743410924679,-1.5011970638387857,1.3379527569167458,Lethean,0
GER,Scrypt,PoW/PoS,4911500269.41,50000000000.0,0.16846710961556843,0.945482533644808,0.46573666819064646,GermanCoin,2
LTCU,Scrypt,PoW/PoS,8419402.321,150000000.0,-0.41101759093639645,0.8234956903437566,0.3575528126421365,LiteCoin Ultra,2
POP,Scrypt,PoW,3964201248.87125,4999999999.0,-0.11081548815561487,0.27743839572957507,-0.26953209489338187,PopularCoin,2
PNX,X11,PoW/PoS,45174214.1078625,50000000.0,-0.4728721131876308,1.3379968199585273,-0.1156487648129868,PhantomX,2
PHO,BLAKE256,PoW,30089671530.5228,90000000000.0,1.4019217543041176,-1.598079555727275,1.88487963400989,Photon,0
SUCR,X11,PoW,4229040.50393462,19800000.0,-0.28261642567305745,0.7680025952191852,-0.753163422416636,Sucre,2
SPK,NeoScrypt,PoW,7847417.33355824,21000000.0,-0.13417321402987958,-0.4755676069618077,0.38987987711679717,SparksPay,0
WAGE,Quark,PoS,27299680.0,120000000.0,0.13459604848393675,-0.9961211039865917,-1.0664758365541471,Digiwage,4
GUN,NeoScrypt,PoW,299797953.0,500000000.0,-0.12490008630902062,-0.4735603747596908,0.39090817413618767,GunCoin,0
IRL,Scrypt,PoW,45483049.3398182,64000000.0,-0.22014704991320763,0.25364970702978445,-0.2800867687771887,IrishCoin,2
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0,-0.3945993034722206,0.8270665141906761,0.35915712936678806,Trollcoin,2
LCP,Scrypt,PoW/PoS,2504486.227718,4000000.0,-0.4125869830368747,0.8231672213289858,0.3572355781322439,Litecoin Plus,2
MONK,X11,PoS,4407252.0,21000000.0,0.03603409442649608,-0.18164559662837199,-1.8155789186599551,Monkey Project,4
PCOIN,X11,PoW,8478104.33969947,23000000.0,-0.28251969166840807,0.7680238448861394,-0.7531566581576599,Pioneer Coin,2
UBTC,SHA-256,PoW,20166000.0,20166000.0,-0.19027592217296646,-0.0038226677786692143,-0.04368972238864948,UnitedBitcoin,2
ITZ,C11,PoW,11916588.09471,23000000.0,0.014284928129995697,-1.719134582308442,1.5329248957436459,Interzone,0
TPAY,POS 3.0,PoS,20445861.534425102,25000000.0,0.16422793855950651,-1.253638547706785,-0.830190906986934,TokenPay,4
MCT,Ethash,PoS,1618033.0,1618033.0,0.266034504114024,-2.1113970194283307,-0.04193685417671933,1717 Masonic Commemorative Token,0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000.0,-0.3484919746523386,0.6333153730758984,0.1448081846435772,My Big Coin,2
TRTL,CryptoNight,PoW,53139835213.77,1000000000000.0,10.93885447373945,0.7022773521797172,3.5868901435094793,TurtleCoin,3
MUN,SkunkHash,PoW,4818338.98949984,16600000.0,-0.24170855268522118,0.42493989561201495,-0.4378487930752712,MUNcoin,2
